State,minus,plus,mul,div,lp,rp,number,$,expr,sum,product,value,addsub,prodvalue,parensum,muldiv,prodterm,parenprod
0,,,,,shift(9),,shift(7),,1,2,3,4,,5,8,,6,
1,,,,,,,,accept,,,,,,,,,,
2,shift(11),shift(12),,,,,,reduce(expr##sum),,,,,10,,,,,
3,reduce(prodvalue##product),reduce(prodvalue##product),reduce(prodvalue##product),reduce(prodvalue##product),,,,reduce(expr##product),,,,,,,,,,
4,reduce(prodvalue##value),reduce(prodvalue##value),reduce(prodvalue##value),reduce(prodvalue##value),,,,reduce(expr##value),,,,,,,,,,
5,shift(14),shift(12),reduce(prodterm##prodvalue),reduce(prodterm##prodvalue),,,,,,,,,13,,,,,
6,,,shift(17),shift(16),,,,,,,,,,,,15,,
7,reduce(value##number),reduce(value##number),reduce(value##number),reduce(value##number),,reduce(value##number),,reduce(value##number),,,,,,,,,,
8,,,reduce(prodterm##parensum),reduce(prodterm##parensum),,,,,,,,,,,,,,
9,,,,,shift(9),,shift(7),,,18,20,19,,5,8,,6,
10,,,,,shift(9),,shift(7),,,,20,19,,21,8,,6,
11,,,,,shift(9)!!reduce(addsub##minus),,reduce(addsub##minus),,,,,,,,22,,,
12,,,,,reduce(addsub##plus),,reduce(addsub##plus),,,,,,,,,,,
13,,,,,shift(9),,shift(7),,,,20,19,,23,8,,6,
14,,,,,shift(9)!!reduce(addsub##minus),,reduce(addsub##minus),,,,,,,,24,,,
15,,,,,shift(9),,shift(7),,,,,25,,,26,,,
16,,,,,shift(28)!!reduce(muldiv##div),,reduce(muldiv##div),,,,,,,,,,,27
17,,,,,reduce(muldiv##mul),,reduce(muldiv##mul),,,,,,,,,,,
18,shift(11),shift(12),,,,shift(29),,,,,,,10,,,,,
19,reduce(prodvalue##value),reduce(prodvalue##value),reduce(prodvalue##value),reduce(prodvalue##value),,reduce(prodvalue##value),,reduce(prodvalue##value),,,,,,,,,,
20,reduce(prodvalue##product),reduce(prodvalue##product),reduce(prodvalue##product),reduce(prodvalue##product),,reduce(prodvalue##product),,reduce(prodvalue##product),,,,,,,,,,
21,reduce(sum##sum addsub prodvalue),reduce(sum##sum addsub prodvalue),reduce(prodterm##prodvalue),reduce(prodterm##prodvalue),,reduce(sum##sum addsub prodvalue),,reduce(sum##sum addsub prodvalue),,,,,,,,,,
22,reduce(sum##sum minus parensum),reduce(sum##sum minus parensum),,,,reduce(sum##sum minus parensum),,reduce(sum##sum minus parensum),,,,,,,,,,
23,reduce(sum##prodvalue addsub prodvalue),reduce(sum##prodvalue addsub prodvalue),reduce(prodterm##prodvalue),reduce(prodterm##prodvalue),,reduce(sum##prodvalue addsub prodvalue),,reduce(sum##prodvalue addsub prodvalue),,,,,,,,,,
24,reduce(sum##prodvalue minus parensum),reduce(sum##prodvalue minus parensum),,,,reduce(sum##prodvalue minus parensum),,reduce(sum##prodvalue minus parensum),,,,,,,,,,
25,reduce(product##prodterm muldiv value),reduce(product##prodterm muldiv value),reduce(product##prodterm muldiv value),reduce(product##prodterm muldiv value),,reduce(product##prodterm muldiv value),,reduce(product##prodterm muldiv value),,,,,,,,,,
26,reduce(product##prodterm muldiv parensum),reduce(product##prodterm muldiv parensum),reduce(product##prodterm muldiv parensum),reduce(product##prodterm muldiv parensum),,reduce(product##prodterm muldiv parensum),,reduce(product##prodterm muldiv parensum),,,,,,,,,,
27,reduce(product##prodterm div parenprod),reduce(product##prodterm div parenprod),reduce(product##prodterm div parenprod),reduce(product##prodterm div parenprod),,reduce(product##prodterm div parenprod),,reduce(product##prodterm div parenprod),,,,,,,,,,
28,,,,,shift(9),,shift(7),,,,30,19,,31,8,,6,
29,reduce(parensum##lp sum rp),reduce(parensum##lp sum rp),reduce(parensum##lp sum rp),reduce(parensum##lp sum rp),,reduce(parensum##lp sum rp),,reduce(parensum##lp sum rp),,,,,,,,,,
30,,,reduce(prodvalue##product),reduce(prodvalue##product),,shift(32),,,,,,,,,,,,
31,,,reduce(prodterm##prodvalue),reduce(prodterm##prodvalue),,,,,,,,,,,,,,
32,reduce(parenprod##lp product rp),reduce(parenprod##lp product rp),reduce(parenprod##lp product rp),reduce(parenprod##lp product rp),,reduce(parenprod##lp product rp),,reduce(parenprod##lp product rp),,,,,,,,,,
